กราฟฟิค แอนด์ ปริ้นติ้งเซ็นเตอร์ (บจก)
กุลวงศ์ (บจก)
เซ็นเตอร์ คอนเทนเนอร์ (บจก)
ท.ไทยเยนเนอร์ราล (1975) (บจก)
ไทยอ๊อฟเซท (บจก)
บางกอกไกด์ (หจก) 
สยามพรหมประทาน (บจก)
แสงอินเตอร์ ลามิเนต (บจก)
อินเตอร์อิ๊งค์ (บจก)
เอช แอนด์ ที คอร์ปอเรชั่น (บจก)
ไอด้า แปซิฟิค (บจก)  กระดาษ 
อุตสาหกรรมมิตรมงคล (บจก)  ยา 
เอส เอส แมนูแฟคเจอริ่ง (บจก)  ยา 
เอส.ซี. อาร์ทิสทรี (หจก)  ยา 
แอ็กโกร (ประเทศไทย) (บจก)  ยา 
แอดว๊านส์ คอสเมติคส์ (บจก)  ยา 
แอล.บี.เอส. แลบบอราตอรี่ (หจก)  ยา 
โอ พี เอ็ม (บจก)  ยา 
โอสถสภา (บจก)  ยา 
คูราชิกิ สยาม รับเบอร์ (บจก)  ยาง 
ฉลองอุตสาหกรรมน้ำยางข้น (บจก)  ยาง 
ชัวร์เท็กซ์ (บจก)  ยาง 
ซูเปอร์โกลฟอินดัสตรี (บจก)  ยาง 
ไทยบริดจ์สโตน (บจก)  ยาง 
พี ไอ อินดัสตรี (บจก)  ยาง 
โมลด์เมท บจก.  ยาง 
ยางไทยอุตสาหกรรม (บจก)  ยาง 
โรงงานยางไทยสินอนันต์ (2516) (บจก)  ยาง 
แสงไทยผลิตยาง (บจก)  ยาง 
เอส เค โพลีเมอร์ (บจก)  ยาง 
เอส ซี อุตสาหกรรมยาง (บจก)  ยาง 
เอส.ที.พี.รับเบอร์ (บจก)  ยาง 
กุลธรคอนโทรลส์ (บจก)  ยานยนต์ 
กุลธรยูนิเวอร์แซลอิเล็คทริค (บจก)  ยานยนต์ 
เกียรติเจริญ ซิตี้พาร์ท (บจก)  ยานยนต์ 
คาร์อิมเมจ (บจก)  ยานยนต์ 
จิบูฮิน (ประเทศไทย) (บจก)  ยานยนต์ 
เจ เอส วี ฮาร์ดแวร์ (บจก)  ยานยนต์ 
ชมรมผู้ส่งออกชิ้นส่วนยานยนต์ (ชมรม)  ยานยนต์ 
ชุ้งค์ ยูไนเต็ด คาร์บอน (บจก)  ยานยนต์ 
ซี.เอ็ม.แมนูแฟคเจอริ่ง (บจก)  ยานยนต์ 
ซี.เอ็ม.อุตสาหกรรม (บจก)  ยานยนต์ 
ซี.ไอ. กรุ๊ป (บจก)  ยานยนต์ 
ซีโร่ลีก (บจก)  ยานยนต์ 
ซีเอช ออโตพาร์ท (บจก)  ยานยนต์ 
ดีเมส อีโก้ (บจก)  ยานยนต์ 
เด็นโซ่ (ประเทศไทย) (บจก)  ยานยนต์ 
ที.ซี.เอช. ซูมิโนเอะ (บจก)  ยานยนต์ 
ที.เอส.เจ อินดัสเตรียล (บจก)  ยานยนต์ 
ทีบีเค กรุงเทพ (บจก)  ยานยนต์ 
ทีอาร์ เทคนิคัล เซ็นเตอร์ (บจก)  ยานยนต์ 
ไทยซัมมิท โอโตพาร์ท อินดัสตรี (บจก)  ยานยนต์ 
ไทยเฟล็ก (บจก)  ยานยนต์ 
ไทยแอร์โร่ (บจก)  ยานยนต์ 
นวโลหะไทย (บจก)  ยานยนต์ 
นวโลหะอุตสาหกรรม (บจก)  ยานยนต์ 
บราเดอร์ ออโต้พาร์ท แอนด์ เอ็นจิเนียริ่ง (บจก)  ยานยนต์ 
บางกอกสปริง อินดัสเตรียล (บจก)  ยานยนต์ 
พนัส (บจก)  ยานยนต์ 
พิจิตรอุตสาหกรรม (บจก)  ยานยนต์ 
พี.เอส.พี โลหะกิจ (บจก)  ยานยนต์ 
เพรสซิเด้นท์ เมทัล โปรดักส์ (บจก)  ยานยนต์ 
รอยัลมอเตอร์เวอร์ค บจก.  ยานยนต์ 
เรืองอุดม อุดร (หจก)  ยานยนต์ 
ลาดกระบังทูลส์แอนด์ดาย (บจก)  ยานยนต์ 
ลาดกระบังสตีล (บจก)  ยานยนต์ 
สปอต เทคโนโลยี (บจก)  ยานยนต์ 
สมบูรณ์ แอนด์ เอส.พี. รับเบอร์ (บจก)  ยานยนต์ 
สยามเทนเนกซ์ (บจก)  ยานยนต์ 
สยามริคเก้น อินดัสเตรียล (หจก)  ยานยนต์ 
สหกลคัสซี (บจก)  ยานยนต์ 
สหะเจริญโลหะพลาสติกภัณฑ์ (บจก)  ยานยนต์ 
สื่อไดคาสท์ อินดัสเทรียล (บจก)  ยานยนต์ 
เหลืองหิรัญ พริซิชั่น คอมโพเน้นท์ (บจก)  ยานยนต์ 
อธิพงษ์มอเตอร์ (บจก)  ยานยนต์ 
อรรถบูรณ์ (บจก)  ยานยนต์ 
เอ.บี.พี สแตนเลส ฟาสเทนเนอร์ (บจก)  ยานยนต์ 
เอเชีย พรีซิชั่น (บจก)  ยานยนต์ 
เอ็ม เอส ซี พี อาร์ สอง (บจก)  ยานยนต์ 
เอ็ม.เอ็น.ออโตพาร์ท (บจก)  ยานยนต์ 
เอ็ม.เอส.พี.อินดัสทรี (บจก)  ยานยนต์ 
เอมคลัทซ์อุตสาหกรรม (บจก)  ยานยนต์ 
เอส ซี ไอ เมททัลเทค (บจก)  ยานยนต์ 
เอส.เอส.เอส. ออโตพาร์ท (บจก)  ยานยนต์ 
แอดวานซ์ ไดคาสติ้ง เซอร์วิส (หจก)  ยานยนต์ 
แอร์โรเฟลกซ์ อินเตอร์เนชั่นแนล (บจก)  ยานยนต์ 
เนาวรัตน์พัฒนาการ (บมจ)  รับเหมาก่อสร้าง 
ปิโก อินเตอร์เนชั่นแนล เอ็นเตอร์ไพรส์ (ไทยแลนด์) (บจก)  รับเหมาก่อสร้าง 
ไฮแพลน คอนสตรัคชั่น (บจก)  รับเหมาก่อสร้าง 
คงรุ่งสตีล (บจก)  โลหะ 
ซี.เอส. เมททอล (บจก)  โลหะ 
เดอโก ฟาวดรี (บจก)  โลหะ 
ทิมพาโน เมทัล โปรดักส์ เอ็นจิเนียริ่ง (บจก)  โลหะ 
ที.จี.เอส. สเปเชียลสตีลส์ (บจก)  โลหะ 
ที.แอล.เอช เอ็นจิเนียริ่ง (บจก)  โลหะ 
ไท้เฮงการช่างและการหล่อ (1999) (บจก)  โลหะ 
บางกอกเคเบิ้ล (บจก)  โลหะ 
บางกอกผลิตภัณฑ์ท่อทองแดง (บจก)  โลหะ 
บีสไพพ์ฟิตติ้งอินดัสตรี้ (บจก)  โลหะ 
พรวิศวะ ทูลลิ่ง (บจก)  โลหะ 
พี.เค.เอ็ม โลหะภัณฑ์ (บจก)  โลหะ 
พี.เอส.ทูลส์ (บจก)  โลหะ 
แม่น้ำสแตนเลสไวร์ (บจก)  โลหะ 
ยู.ไอ.เอ็นจิเนียริ่ง (บจก)  โลหะ 
รอยัลสตรีล อินดัสทรี (บจก)  โลหะ 
โลหะการวิศวกรรม (บจก)  โลหะ 
โลหะประทีปอุตสาหกรรม (บจก)  โลหะ 
วิศวกิจพัฒนา (บจก)  โลหะ 
วีแอนด์พี เอ็กซแพนส์ เมททัล (บจก)  โลหะ 
เวสเทอร์น โมลด์ (บจก)  โลหะ 
เวิล์ค โค๊ตติ้ง โพรเซ็ส (บจก)  โลหะ 
ไวเออร์ฟอร์ม เอ.เอ็น. (ไทยแลนด์) (บจก)  โลหะ 
ศรีโพธิ์ทอง เมตัลเวิร์ค (บจก)  โลหะ 
ศรีโพธิ์ทองโลหะกิจ (1974) (บมจ)  โลหะ 
ส.พัฒนาการหล่อ (บจก)  โลหะ 
สเปเชียลตี้ พรีซิชั่น พาร์ท (บจก)  โลหะ 
สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี (บจก)  โลหะ 
สยาม L.C.S. โอโตพาร์ท (บจก)  โลหะ 
สยามเอเซีย เมททอล (บจก)  โลหะ 
สยามแองโกลอัลลอยด์ (บจก)  โลหะ 
เสถียรสเตนเลสสตีล (บจก)  โลหะ 
แสงไทย เมทัลดรัม (บจก)  โลหะ 
อยุธยาโลหะการ (บจก)  โลหะ 
อลูคอน อุตสาหกรรม (บจก)  โลหะ 
อุดมโลหะกิจ (1975) (บจก)  โลหะ 
อุตสาหกรรมเฟืองเกียร์ (บจก)  โลหะ 
อุตสาหกรรมมู่เลย์สยาม (บจก)  โลหะ 
เอ.แอล.เค พรีซิชั่นเวอร์ค (บจก)  โลหะ 
เอส พี ชัตเตอร์ส (หจก)  โลหะ 
เอส.พี.เมทัลพาร์ท (บจก)  โลหะ 
เอส.เอ็น.ไมโครพรีซิชั่น (บจก)  โลหะ 
เออาร์โอโตเมชั่น ซิสเต็ม (บจก)  โลหะ 
แอดวานซ์ แมกเนติกส์ แมททีเรียล (ประเทศไทย) (บจก)  โลหะ 
แอล พี ไอ กรุ๊ป (บจก)  โลหะ 
ซี พี ยู พื้นสำเร็จรูป (บจก)  วัสดุก่อสร้าง 
ไทยวิศวการแกรนิต (บจก)  วัสดุก่อสร้าง 
ศูนย์ฝึกอาชีพการผลิตวัสดุก่อสร้าง (บจก)  วัสดุก่อสร้าง 
สตาร์คอน (บจก)  วัสดุก่อสร้าง 
ชลบุรีอาร์ไอเอ (บจก)  วิเคราะห์ทดสอบ 
โรงพยาบาลเซนต์หลุยส์ (บจก)  สถานพยาบาล 
โรงพยาบาลระยอง (รัฐ)  สถานพยาบาล 
สยามเฮ็ลท์แคร์ (ศูนย์สุขภาพ) (บจก)  สถานพยาบาล 
เอกอู่ทอง (บจก)  สถานพยาบาล 
ไทยสารสนเทศเทคโนโลยี (บจก)  สถานศึกษา 
แพนโพลีเทคนิค (บจก)  สถานศึกษา 
มหาวิทยาลัยเซนต์จอห์น (บมจ)  สถานศึกษา 
กรีนแคร์ (บจก)  สิ่งทอ 
เจ.เอ็ม. แอพพาเรล (บจก)  สิ่งทอ 
ซงเรย์ นันวูเว่น (บจก)  สิ่งทอ 
ทรงชัย ปั่นทอ (บจก)  สิ่งทอ 
เท็กซ์-เทค ซัพพลาย (บจก)  สิ่งทอ 
ไทยทาเคดะเลช (บจก)  สิ่งทอ 
พิพัฒนกิจเท็กซ์ไทล์ (บจก)  สิ่งทอ 
เอเชีย (ประเทศไทย) ผลิตเสื้อ (บจก)  สิ่งทอ 
เอเชีย อีโค่-ทัช (บจก)  สิ่งทอ 
ซี.เอ็ม.พี โปรดักส์ (บจก)  สิ่งแวดล้อม 
ไทย กรีนโนเวชั่น (บจก)  สิ่งแวดล้อม 
วอเตอร์เทสท์ (บจก)  สิ่งแวดล้อม 
เอ พี เอฟ เฟอร์นิเจอร์ (หจก)  สิ่งแวดล้อม 
เอเชี่ยนเคมีคัล แอนด์ เอ็นยิเนียริ่ง (บจก)  สิ่งแวดล้อม 
เอ็นวิซิส (บจก)  สิ่งแวดล้อม 
เอ็นไวรอนเม้นท์ แอนด์ แลบอราดอรี่ (บจก)  สิ่งแวดล้อม 
แอสโซซิเอชั่น ออฟ ทรี (บจก)  สิ่งแวดล้อม 
ไอคิวเอ-นอร์เวส แล็บส์ (บจก)  สิ่งแวดล้อม 
เชน เอเจนซี่ (บจก)  สื่อและโฆษณา 
นิวเกตมีเดีย (บจก)  สื่อและโฆษณา 
วิว แอนด์ ซี.เอส. (บจก)  สื่อและโฆษณา 
หอการค้าไทย (สมาคม)  หน่วยงานที่ไม่หวังผลกำไรทางเศรษฐกิจ 
สำนักพัฒนาอุตสาหกรรมสนับสนุน (รัฐ)  หน่วยงานรัฐ 
อิเลคโทรนิคส์ เรียลตี้ แอสโซซิเอตส์ (ประเทศไทย) (บจก)  อสังหาริมทรัพย์ 
คอนเซ็พท์ แมนูแฟคเจอริ่ง (บจก)  อัญมณี 
เวิลด์ จีแวล แลป (บจก)  อัญมณี 
40 เค แอนด์ พี (บจก)  อาหาร 
กุยบุรีผลไม้กระป๋อง (บจก)  อาหาร 
แกรนด์เอเซียอุตสาหกรรมอาหาร (บจก)  อาหาร 
แกลง (บจก)  อาหาร 
เคซีเชียงใหม่อุตสาหกรรมอาหาร (บจก)  อาหาร 
โคคาฟู้ดส์ อินเตอร์เนชั่นแนล (บจก)  อาหาร 
เจ เอ็ม อุตสาหกรรมอาหาร (บจก)  อาหาร 
เชียงใหม่ฟู้ดแคนนิ่ง (บจก)  อาหาร 
ซันเนก ฟู้ด (บจก)  อาหาร 
ซันฟีด (บจก)  อาหาร 
ซี.พี. ค้าปลีกและการตลาด (บจก)  อาหาร 
เซอร์รัส (บจก)  อาหาร 
ดอยคำผลิตภัณฑ์อาหาร (บจก)  อาหาร 
ดัชมิลล์ (บจก)  อาหาร 
โดล ไทยแลนด์ (บจก)  อาหาร 
ตะวันบอตต์แอนด์แคน (บมจ)  อาหาร 
เถกิงอุตสาหกรรม สัปปะรดกระป๋อง (บจก)  อาหาร 
ทีมเวิลด์ไวด์ (บจก)  อาหาร 
เทพผดุงพรมะพร้าว (บจก)  อาหาร 
ไทย อกริ ฟู้ดส์ จำกัด (บจก)  อาหาร 
ไทยประสิทธิ์สต๊าซ (บจก)  อาหาร 
นิวแหลมทองฟูดส์อินดัสทรีส์ (บจก)  อาหาร 
นีโอเทคฟู้ด (บจก)  อาหาร 
บี. เอ็น. เอช. แคนนิ่ง (บจก)  อาหาร 
ผลิตภัณฑ์อาหารเชพช้อย (บจก)  อาหาร 
ผลิตภัณฑ์อาหารไทย (หจก)  อาหาร 
พัทยาฟู้ดอินดัสตรี (บจก)  อาหาร 
พี เอส ซี ฟูดส์ อินดัสทรีส์ (บจก)  อาหาร 
มงคลกิจอุตสาหกรรม (บจก)  อาหาร 
มหาชัยมารีน โปรดักส์ (บมจ)  อาหาร 
รอแยลการเกษตร (บจก)  อาหาร 
ริเวอร์แคว อินเตอร์เนชั่นแนล อุตสาหกรรมอาหาร (บจก)  อาหาร 
ลำปางฟู้ดโปรดักส์ (บจก)  อาหาร 
วิลมาร์ค คอร์ปอเรชั่น (บจก)  อาหาร 
เวิลด์เพ็ท อินเตอร์เนชั่นแนล (บจก)  อาหาร 
สยาม ซิทโต (บจก)  อาหาร 
สามร้อยยอด (บจก)  อาหาร 
สำปะหลังพัฒนา (บจก)  อาหาร 
หยางไทย (บจก)  อาหาร 
อควอสตาร์แลบบอราตอรีส์ (บจก)  อาหาร 
อิบราฮิม ฮาล้าลฟู้ดส์ (บจก)  อาหาร 
อุตสาหกรรมแป้งไทย (บจก)  อาหาร 
อุตสาหกรรมผลไม้ปราณบุรี (บจก)  อาหาร 
อุตสาหกรรมสัปปะรดกระป๋องไทย (บจก)  อาหาร 
เอราวัณฟู้ดส์ (บจก)  อาหาร 
เอส พี เอ็ม อาหารสัตว์ (บจก)  อาหาร 
เอส.เอ็ม. อุตสาหกรรมเนื้อ (บจก)  อาหาร 
