กราฟฟิค แอนด์ ปริ้นติ้งเซ็นเตอร์ (บจก)
กุลวงศ์ (บจก)
เซ็นเตอร์ คอนเทนเนอร์ (บจก)
ท.ไทยเยนเนอร์ราล (1975) (บจก)
ไทยอ๊อฟเซท (บจก)
บางกอกไกด์ (หจก) 
สยามพรหมประทาน (บจก)
แสงอินเตอร์ ลามิเนต (บจก)
อินเตอร์อิ๊งค์ (บจก)
เอช แอนด์ ที คอร์ปอเรชั่น (บจก)
ไอด้า แปซิฟิค (บจก)  กระดาษ 
สามมิตรโอโตพาร์ท (บจก)  เครื่องจักรกลการเกษตร 
สามัคคีการเกษตร (บจก)  เครื่องจักรกลการเกษตร 
สามัคคีโลหะกิจ (หจก)  เครื่องจักรกลการเกษตร 
อินเตอร์การเกษตร (บจก)  เครื่องจักรกลการเกษตร 
เอส.พี.เค เมทัลเวอคส์ (บจก)  เครื่องจักรกลการเกษตร 
กรุงเทพ อาร์ไอเอ (บจก)  เครื่องมือแพทย์ 
คงศักดิ์เอ็กซเรย์การแพทย์อุตสาหกรรม (บจก)  เครื่องมือแพทย์ 
ซีม (บจก)  เครื่องมือแพทย์ 
มหาวิทยาลัยมหิดล (รัฐ)  เครื่องมือแพทย์ 
มหาวิทยาลัยสงขลานครินทร์ (รัฐ)  เครื่องมือแพทย์ 
เมดิคอลอินสทรูเมนท์ เทคโนโลยี (บจก)  เครื่องมือแพทย์ 
สยามเด็นท์ (บจก)  เครื่องมือแพทย์ 
สุพรีมโปรดักส์ (บจก)  เครื่องมือแพทย์ 
สุรนารีแพทย์ภัณฑ์ (บจก)  เครื่องมือแพทย์ 
เอ็ม.อี.เมดิเทค (บจก)  เครื่องมือแพทย์ 
เอ็ม.อี.โอชูก้า (บจก)  เครื่องมือแพทย์ 
เอ็ม.ไอ.ดี. (บจก)  เครื่องมือแพทย์ 
เอ็มอี นิคคิโซ (บจก)  เครื่องมือแพทย์ 
แอนไพ รีเสิร์ช (บจก)  เครื่องมือแพทย์ 
ฮอชลิงค์ เมดิคัล (บจก)  เครื่องมือแพทย์ 
ชัยวัฒนา แทนเนอรี่ กรุ๊ป (บมจ)  เครื่องหนัง 
อินเตอร์-ไฮด์ เลเธอร์ (บจก)  เครื่องหนัง 
ก.ยินกวง (บจก)  ชุบเคลือบผิว 
ซันโกฟาสเท็ม (ประเทศไทย) (บจก)  ชุบเคลือบผิว 
ไทยฮีททรีทเมนท์ (บจก)  ชุบเคลือบผิว 
โรงชุบเพชรเกษม (บจก)  ชุบเคลือบผิว 
ล้อย่งเส็งชุบโครเมี่ยม (บจก)  ชุบเคลือบผิว 
วาย. เอ. เอส. โกลด์ อิเล็คโทรเพลทติ้ง (บจก)  ชุบเคลือบผิว 
ศรีทองอิเล็ทโทรเคมีเคิ้ล (หจก)  ชุบเคลือบผิว 
สยามโกชิ มานูแฟคเชอริ่ง (บจก)  ชุบเคลือบผิว 
สยามสตีลกัลวาไนซิ่ง (บจก)  ชุบเคลือบผิว 
โกลบอล เทคโน เซอร์วิสเซส (บจก)  ซอฟต์แวร์ 
คราท์โก้ (บจก)  ซอฟต์แวร์ 
คอมพิวเตอร์ ซิสเท็ม คอนเน็คชั่น อินเตอร์เนชั่นแนล (บจก)  ซอฟต์แวร์ 
คอมพิวเตอร์ เทเลโฟนี เอเชีย (บจก)  ซอฟต์แวร์ 
คอมพิวเทคไมโครซอฟท์แวร์ (บจก)  ซอฟต์แวร์ 
จีพี เอ็ดดูเคชั่น (บจก)  ซอฟต์แวร์ 
จีอีเอ็ม คอนซัลติ้ง (บจก)  ซอฟต์แวร์ 
เชียงใหม่ ซอฟท์แวร์ แอนด์ เทคโนโลยี (บจก)  ซอฟต์แวร์ 
ซอฟต์สแควร์ 1999 (บจก)  ซอฟต์แวร์ 
ซอฟต์สแควร์ อินเตอร์เนชั่นแนล (บจก)  ซอฟต์แวร์ 
ซัมมิท คอมพิวเตอร์ (บจก)  ซอฟต์แวร์ 
ซัมมิท ซอฟต์แวร์ ดีเวลลอปเม้นท์ (บจก)  ซอฟต์แวร์ 
ซิสเต็มพลัส กรุ๊ป (บจก)  ซอฟต์แวร์ 
ซิสเทกซ์ อินโฟโปร (บจก)  ซอฟต์แวร์ 
ไซเบอร์ วิลเลจ (บจก)  ซอฟต์แวร์ 
เดต้าเอ๊กซ์เพรส (บจก)  ซอฟต์แวร์ 
ที.เจ.เอส คอนซัลเท็น (บจก)  ซอฟต์แวร์ 
ที่ปรึกษาบัญชีและภาษีไทย (บจก)  ซอฟต์แวร์ 
เทคโนโลยี แอนด์ ซอฟต์แวร์ โซลูชั่น (บจก)  ซอฟต์แวร์ 
เท็นซอฟท์ (บจก)  ซอฟต์แวร์ 
ธอมัสไอเดีย (บจก)  ซอฟต์แวร์ 
นอร์ธเทอร์นสตาร์ซอฟต์แวร์ (บจก)  ซอฟต์แวร์ 
เน็กซ์ อี (บจก)  ซอฟต์แวร์ 
บาร์โค้ด แอนด์ ไอดี ซิสเต็มส์ (บจก)  ซอฟต์แวร์ 
บิทสตรอม (บจก)  ซอฟต์แวร์ 
พาวเวอร์พาร์ทเนอร์ (บจก)  ซอฟต์แวร์ 
มาสเตอร์เทค อินเตอร์เนชั่นแนล (บจก)  ซอฟต์แวร์ 
เมดิคัล ซอฟท์แวร์ (บจก)  ซอฟต์แวร์ 
แมกซ์ เซฟวิ่งส์ (ประเทศไทย) (บจก)  ซอฟต์แวร์ 
